Model,RMSE,MAE,R2
Ridge (a=1.0),7.083364263119999,5.595384212236094,0.5324145699384677
Ridge (a=10.0),5.467581531154105,4.419377244077481,0.7214056184344184
Lasso,8.324920244755832,5.46897028840577,0.3541346568914241
ElasticNet,6.698452776891371,5.133165880760663,0.5818512353732135
Random Forest,5.579488514568871,4.167052940548342,0.7098847261878221
XGBoost,3.7779515923203655,2.971599988555908,0.8669868446762807
Gaussian Process,5.817855941655688,4.657244816497844,0.6845665509924064
