Model,RMSE,MAE,R2
Ridge (a=1.0),8.111501507591006,6.543587808352684,0.6339760975319806
Ridge (a=10.0),7.47114287735018,6.0217294242477495,0.6894861154106569
Lasso,8.504691888665812,6.388797895172575,0.5976313744930014
ElasticNet,7.8827692868912225,6.558404240657021,0.6543277056611285
Random Forest,7.977636312293889,5.247716251526251,0.6459574925944034
XGBoost,8.543792590813982,6.3267531585693355,0.5939230538782382
Gaussian Process,8.044472367848686,6.31660421937973,0.640000357826652
